#{"t_start": 1780398861.2305164, "env_id": "None"}
r,l,t
33.41779,32,873.460434
20.129915,61,873.589082
34.801453,34,873.723547
30.845694,48,873.894329
-97.73801,200,874.063892
30.420105,45,874.063935
9.270115,96,874.063941
33.307087,47,874.185901
-76.189644,200,874.298923
39.30216,21,874.425627
-112.090614,200,874.425668
39.201603,25,874.550375
-0.14318962,91,874.550417
-33.693977,183,874.682662
-23.60066,192,874.682694
33.11876,39,874.842005
21.566978,67,874.968729
34.188625,35,875.093453
-17.46826,137,875.093534
17.262716,69,875.210082
35.63959,34,875.210122
37.97908,25,875.332186
16.253105,75,875.4836
37.833405,25,875.483658
38.221188,23,875.612596
30.556961,39,875.612649
26.089926,57,875.723166
36.164944,27,875.83871
39.970394,21,875.990706
18.252775,61,876.088655
17.250395,74,876.234471
32.62471,39,876.234511
-110.72172,200,876.358459
27.45192,52,876.482416
26.219934,52,876.616489
31.043776,41,876.756869
24.45288,56,876.886607
23.940655,57,877.011931
38.029377,28,877.128761
3.5320828,93,877.242301
11.806466,99,877.385938
32.37662,38,877.546055
24.410772,49,877.654263
-101.82973,200,877.788099
-5.5054717,120,877.788134
31.615253,51,877.895362
29.80731,42,878.016424
41.115093,20,878.18192
40.372265,22,878.360441
-108.16697,200,878.470771
23.64518,42,878.609338
6.5280757,72,878.7271
38.17516,21,878.825481
25.130116,52,878.936175
32.78482,40,879.058825
25.895689,53,879.18036
36.312695,31,879.304821
-86.10615,200,879.405427
34.265205,34,879.525983
24.332901,67,879.663872
-128.55455,200,879.663903
-12.000357,107,879.66391
-25.631773,122,879.797342
36.23225,31,879.932285
28.796894,42,880.039584
13.054503,88,880.151219
38.17505,24,880.284839
-163.92714,200,880.284875
38.12549,25,880.398044
32.54946,29,880.507436
12.812751,79,880.507469
-10.883454,104,880.639451
-100.41381,200,880.741676
36.831318,27,880.870421
34.80468,39,881.011323
31.813068,45,881.127791
22.16212,61,881.25049
29.09578,55,881.376519
-11.622555,164,881.503461
18.44824,69,881.623247
25.65529,43,881.623282
39.910374,20,881.759344
26.543617,67,881.915713
-85.18885,200,882.080921
-15.096342,150,882.236341
-196.09467,200,882.236379
-299.3638,200,882.236386
0.15648897,87,882.362848
-153.18752,200,882.505028
14.860189,77,882.505066
36.41622,31,882.640955
37.438095,29,882.771247
-8.178869,101,882.893763
38.02246,27,883.006214
34.708023,33,883.133169
39.911087,19,883.264038
3.3735287,85,883.391493
34.740856,31,883.5279
29.33229,55,883.646442
-4.8559985,117,883.78137
32.68779,43,883.892176
-10.474632,121,884.029219
35.584755,30,884.17752
-25.962523,157,884.31794
-108.80738,200,884.471474
27.89157,52,884.604731
-111.37392,200,884.604776
24.80835,60,884.728616
27.49492,48,884.885272
-0.9778169,121,885.007499
-15.847797,124,885.11618
20.963293,75,885.249941
27.9842,62,885.352107
36.719753,27,885.501433
-109.84261,200,885.501508
31.395891,52,885.627553
31.931492,35,885.775237
34.370003,32,885.885103
-20.125925,186,885.986787
31.83919,36,886.105545
20.496702,60,886.229689
-30.59711,134,886.362112
39.08507,24,886.485683
0.89514357,109,886.612804
-9.466376,149,886.741191
11.048055,101,886.85295
6.7800584,80,886.959682
-740.2526,200,887.099565
-110.86243,200,887.250754
29.507133,35,887.376634
3.007928,82,887.494094
3.2974057,99,887.602682
20.39955,77,887.714844
-98.276855,200,887.816743
-107.4176,200,887.816778
-135.79585,200,887.938455
13.873014,90,888.066889
37.56167,29,888.066942
37.976364,22,888.183059
1.4642031,106,888.32838
34.104137,37,888.32842
32.93929,32,888.433038
31.036953,44,888.553786
38.017677,31,888.553839
4.254993,104,888.671991
24.301987,58,888.786207
-111.0677,200,888.896141
35.967545,38,889.008406
9.279476,79,889.1366
-52.650597,149,889.136633
27.821825,46,889.261357
41.07431,24,889.393742
26.025703,47,889.542952
-16.25077,99,889.652114
28.767445,40,889.761849
-9.54792,137,889.876939
37.73099,24,890.029442
37.17422,30,890.175189
36.85234,33,890.175235
32.306263,48,890.283767
11.861622,86,890.3917
31.475136,34,890.510599
37.334003,23,890.64538
27.482197,49,890.786201
34.98185,32,890.934243
-83.653496,200,890.934275
12.594094,73,890.934282
29.065939,45,891.061139
21.412916,65,891.172972
11.876676,85,891.300298
36.678467,31,891.300351
19.478092,72,891.407655
37.982517,20,891.520534
21.987747,63,891.621981
35.63422,32,891.774336
24.474428,73,891.909025
-148.31323,200,891.909057
35.93865,31,892.040142
32.610657,35,892.040176
-13.096407,134,892.138103
34.64315,38,892.247076
-3.84115,97,892.405575
-47.42022,162,892.59969
37.350693,28,892.599738
-15.916214,107,892.706109
24.43707,56,892.808643
-19.74239,108,892.932139
-86.98577,200,893.055689
27.554396,39,893.189494
-4.7069974,105,893.323783
36.470272,33,893.448143
28.427942,51,893.582623
39.861458,25,893.582655
37.049736,30,893.748277
36.903107,28,893.748312
9.50746,85,893.880974
40.399788,19,893.881032
26.036125,62,894.000569
31.260046,45,894.163735
25.553305,53,894.163783
-88.227036,200,894.272759
22.777735,64,894.385687
32.27836,35,894.49242
29.942614,52,894.642436
-100.849434,200,894.74246
37.719673,28,894.858755
36.66452,30,894.971284
35.179775,32,895.082771
31.499788,48,895.19331
39.16529,21,895.36838
19.688503,51,895.479129
19.52542,66,895.640035
4.6500044,87,895.772662
34.403027,34,895.772697
33.931026,37,895.918206
39.663307,20,896.056662
37.840946,24,896.210983
11.7238455,79,896.211014
35.838478,34,896.376937
0.4460422,99,896.491426
35.177105,32,896.617921
39.620415,23,896.740967
6.8247924,95,896.858068
9.913445,99,896.953921
22.540653,58,897.07689
19.527239,46,897.191826
40.063484,19,897.330198
23.47578,55,897.473417
32.909237,30,897.612843
38.54293,19,897.612881
-17.032085,184,897.768129
-30.899643,145,897.76818
-2.5336115,110,897.902344
20.041348,73,897.902376
33.583843,38,898.000001
-1.8541979,120,898.127901
39.50516,22,898.127932
25.246439,58,898.280711
17.115795,76,898.394534
27.866238,42,898.502285
-141.97578,200,898.624437
37.528404,26,898.749207
27.276932,35,898.916064
-24.296597,139,899.036061
26.55806,48,899.036092
29.724804,48,899.14736
24.444937,51,899.294218
31.18696,44,899.294257
-134.39688,200,899.421716
35.83807,34,899.545228
35.603718,35,899.711149
20.498186,52,899.844318
27.754423,42,899.844348
38.47508,29,903.175454
33.0496,38,903.175647
22.065018,76,903.349488
18.424889,68,903.47086
-100.02406,200,903.613352
34.50875,36,903.754951
16.700693,96,903.893537
1.2522185,98,903.893569
-294.91873,200,904.014323
33.080807,45,904.014364
20.93537,68,904.122737
-4.761843,124,904.253992
-15.9009285,165,904.374923
-13.500892,144,904.470028
26.49574,54,904.58252
-9.765836,132,904.725858
37.321255,24,904.851444
18.103249,76,904.852581
-6.685488,89,904.975367
13.158698,83,905.111565
-27.836754,132,905.111597
6.973748,97,905.255897
-30.62083,129,905.360316
-95.62463,200,905.470643
-122.74428,200,905.59883
35.306602,31,905.708164
-80.09749,178,905.806152
-24.689287,180,905.987874
27.197376,51,905.987926
12.733428,95,906.09426
35.737343,30,906.201663
17.027382,75,906.201699
27.050446,53,906.369619
40.32747,20,906.483447
35.68421,35,906.483498
15.28166,47,906.601057
31.007381,43,906.7056
34.173466,32,906.810773
21.869827,62,906.936828
30.320791,38,907.046988
34.655277,36,907.180656
37.762672,21,907.334752
19.296576,70,907.334784
34.086678,39,907.445264
2.9069467,93,907.445299
-92.87644,200,907.547374
24.539377,54,907.678566
35.179337,30,907.815267
32.248917,31,907.941032
29.073185,47,908.06663
-85.44613,200,908.195813
12.134062,78,908.298259
-28.61282,138,908.403829
25.272589,46,908.525736
32.0687,30,908.682356
34.987583,35,908.823308
34.395477,37,908.823347
30.539227,44,908.954684
-95.087685,200,909.077604
-109.04646,200,909.077652
-4.27343,111,909.191166
-0.42132536,128,909.332742
36.25277,26,909.441747
27.562984,53,909.592554
41.58629,20,909.728709
36.288498,27,909.877579
-101.47281,200,910.002277
-626.5146,200,910.161343
19.840178,66,910.281058
11.822123,59,910.378344
11.82567,67,910.48355
25.246365,60,910.600584
32.817417,38,910.702513
-10.451241,129,910.834391
0.8357499,93,910.969002
19.917803,52,911.108586
24.950119,52,911.200609
13.088516,70,911.305596
34.380207,33,911.415039
3.183859,105,911.555685
37.677002,29,911.672381
34.290054,41,911.794222
35.0187,31,911.910633
26.8909,65,912.032135
-1.1688513,133,912.032169
15.855489,88,912.131448
4.013592,105,912.282166
-11.557995,132,912.405255
-33.217216,131,912.405285
30.975233,41,912.578401
30.918016,36,912.712685
35.46858,33,912.834864
30.023022,55,912.943842
27.60495,51,913.059124
36.348072,29,913.218017
15.222995,82,913.329055
28.493746,52,913.455991
27.844933,51,913.583413
31.349504,52,913.748915
32.043373,47,913.748958
38.15852,22,913.915101
32.004032,40,914.031771
-9.364993,134,914.141768
1.7710015,92,914.267745
18.999037,60,914.383619
-18.906988,159,914.383672
-88.98548,200,914.511497
28.86615,44,914.654102
28.693,41,914.774779
11.252166,67,914.879117
28.294127,48,915.010074
13.590196,93,915.156504
37.072975,27,915.279717
9.430766,86,915.418167
-9.04459,148,915.57168
14.124003,99,915.571721
-30.487368,171,915.571727
36.99461,33,915.727882
19.93573,59,915.829957
-85.77237,200,915.946677
18.200342,80,916.052792
35.83487,29,916.165098
-122.651924,200,916.165147
31.482876,48,916.165154
36.90689,26,916.300635
3.3920472,105,916.410956
8.571946,71,916.541083
28.949467,40,916.694374
37.11525,29,916.694419
28.428955,54,916.829298
31.423923,41,916.970873
36.042366,31,917.081818
33.2629,44,917.237409
19.54235,85,917.370217
-299.36325,200,917.493765
20.723076,47,917.493819
29.148663,49,917.602827
26.80612,49,917.736429
38.258858,30,917.736474
-142.223,200,917.865858
31.849585,38,917.865892
-102.85882,200,917.985463
26.29538,44,918.145232
28.461939,40,918.276017
14.920958,73,918.411338
-98.97959,200,918.537228
34.901356,28,918.672204
26.571869,60,918.672246
31.130442,37,918.829604
38.77052,26,918.829652
25.67711,48,918.973171
-8.448887,100,919.098164
31.372684,37,919.21273
17.128658,91,919.334073
35.09949,33,919.438753
-4.4908795,92,919.543778
37.775208,25,919.681393
6.966302,107,919.785687
37.938053,22,919.907494
0.91432,112,920.088389
35.646023,30,920.190098
35.252613,31,920.365993
14.226047,74,920.366028
32.134945,40,920.50428
-30.875368,152,920.504315
-382.32254,200,920.504322
31.16345,40,920.615948
31.872744,37,920.737449
20.017618,72,920.737497
34.56103,36,920.73752
38.186237,27,920.877302
36.01857,34,920.877335
-101.19438,200,921.014243
-24.298597,163,921.014273
29.15523,39,921.118177
27.22882,40,921.240713
34.92526,31,921.343753
20.00557,66,921.462765
-96.49157,200,921.595936
17.158607,76,921.595972
0.83047134,115,921.730051
37.037594,27,921.867918
34.870968,37,921.867951
16.383335,58,921.867958
34.264797,35,922.000272
7.6484118,114,922.155585
31.751287,47,922.297613
-93.30057,200,922.297645
28.631805,41,922.438263
11.677372,95,922.562026
29.825212,37,922.562068
-230.68193,200,922.688576
-116.106735,200,922.817121
26.28271,51,922.817176
19.355995,58,922.941716
39.160164,23,923.062895
-76.40567,200,923.196184
29.894056,39,923.196235
-7.868037,116,923.364665
13.337592,69,923.492749
35.620667,25,923.598848
-109.38138,200,923.708231
-94.081024,200,923.824577
35.364773,30,923.932143
21.21718,65,924.053292
32.243782,40,924.053321
38.27921,20,924.198147
38.42218,22,924.323111
28.494263,47,924.44022
-116.38901,200,924.576334
25.227415,51,924.576379
28.80759,47,924.719173
32.445988,35,924.823722
23.766596,56,924.954547
26.125492,54,924.954576
37.409687,25,925.06997
17.050823,70,925.217804
33.595,36,925.380578
23.344746,54,925.516502
11.032721,80,925.651783
34.570477,31,925.758532
-31.825945,173,925.881235
36.08704,38,926.024055
39.612133,22,926.137868
38.824024,25,926.243297
-18.63413,117,926.349704
22.717318,51,926.4763
35.805046,33,926.476333
-2.9979692,97,926.600122
35.085148,26,926.706034
7.663063,96,926.82234
26.521088,51,926.936473
-645.5086,200,927.08597
1.7578876,98,927.197721
34.205616,31,927.303456
-23.755415,108,927.413668
33.302727,31,927.541226
35.83844,26,927.657322
23.258102,82,927.811639
-15.683258,154,927.907099
21.844408,57,927.907137
9.604504,85,928.027303
38.083763,24,928.162865
33.379105,34,928.273793
33.392246,25,928.3818
36.630146,25,928.525954
33.72593,34,928.525988
13.556633,80,928.630316
24.582388,63,928.761332
10.375266,83,928.761371
19.263578,72,928.904094
29.511734,49,929.02165
37.04818,29,929.124251
20.355782,59,929.220835
36.540295,35,929.354624
29.577688,41,929.354656
38.369835,25,929.451349
-8.884683,137,929.570187
35.579712,33,929.685611
30.248259,39,929.784781
17.03533,65,929.928505
31.983974,34,930.043676
21.995924,49,930.184772
-23.234722,126,930.184818
35.703197,27,930.304101
28.43069,49,930.423938
16.572435,79,930.568378
-9.789345,93,930.707074
-289.71777,200,930.813945
19.263603,48,930.94429
33.463543,35,931.097866
-10.470744,146,931.201048
-41.04878,159,931.315505
36.883278,25,931.41995
31.260954,41,931.54523
-3.287512,115,931.691563
38.94851,22,931.691602
-159.1709,200,931.803901
35.173485,30,931.970943
30.64365,31,931.971002
34.41304,35,932.091762
21.307133,63,932.24336
33.19111,35,932.359819
30.633434,43,932.519246
17.145554,86,932.637941
27.8359,49,932.750225
28.187668,39,932.898888
24.27089,59,932.898932
4.4787445,94,932.898939
31.021463,41,933.011839
41.833107,17,933.138209
33.02992,39,933.258198
39.346462,25,933.386189
23.584734,54,933.559339
24.508114,53,933.559371
-803.7456,200,933.725219
36.681564,24,933.842572
33.156162,31,933.975823
-12.570196,126,934.118124
21.370668,81,934.23269
37.80506,26,934.343716
28.651579,53,934.442201
34.729156,37,934.609284
1.1675807,103,934.609328
-101.66023,200,934.609335
36.80363,30,934.725317
-92.095245,200,934.853711
12.473494,92,934.853757
34.17518,33,935.006866
-8.380113,141,935.125374
28.21474,52,935.298012
36.23953,29,935.298055
37.114643,25,935.427505
37.07057,25,935.544386
37.339836,24,935.68291
25.207415,65,935.793856
6.8318343,105,935.944663
38.49911,27,936.069354
-0.05752392,110,936.174535
31.309687,41,936.301362
28.725248,48,936.441226
-85.10561,200,936.589686
37.991943,24,936.589725
-81.93665,200,936.73401
30.821312,46,936.907212
24.300835,66,937.00617
29.748278,45,937.141683
28.843782,34,937.25189
-3.5534186,150,937.394535
30.03077,42,937.39458
-13.639336,182,937.549506
-160.24127,200,937.663831
12.440787,98,937.790551
34.17784,33,937.790593
-263.30704,200,937.7906
-94.59296,200,937.889951
-23.176712,145,938.032225
-128.69017,200,938.168025
15.99994,70,938.311922
-103.45329,200,938.425016
34.890636,31,938.545575
17.882385,48,938.668564
28.833763,44,938.668618
15.332511,63,938.771147
7.7979255,85,938.896334
34.69143,39,938.896367
28.238625,49,938.998346
30.240967,37,939.123454
38.37472,25,939.239724
-0.7014591,112,939.37088
-81.346535,200,939.487694
33.336075,35,939.597424
31.2193,41,939.758353
29.495146,46,939.758399
12.248737,68,939.860001
32.35317,37,940.003363
-0.5376345,103,940.122485
34.908463,41,940.269009
22.494698,50,940.269045
27.873928,43,940.395568
40.85995,20,940.511603
26.381126,59,940.630122
27.792034,55,940.738697
39.345356,25,940.876377
-44.48388,176,941.023836
26.700653,58,941.135211
-17.566698,164,941.235669
20.53506,68,941.33776
-78.54237,200,941.337787
-331.49176,200,941.465215
18.956757,76,941.613908
-152.99419,200,941.755411
25.307472,44,941.86283
32.22276,38,942.010957
-129.73175,200,942.13905
-1.8943491,67,942.248111
33.46235,40,942.394078
-2.034787,102,942.394138
-19.627096,136,942.511844
-47.345406,136,942.667028
0.00067245454,129,942.774119
34.066597,30,942.905484
33.641327,33,942.905519
20.531008,70,943.010924
-1.8999541,121,943.144424
-11.345851,130,943.268573
-1.8209682,110,943.401687
4.2359357,120,943.401721
-4.375477,104,943.513213
-128.23692,200,943.623126
-152.90254,200,943.736671
36.90685,29,943.872348
33.294975,39,943.872381
27.45816,46,944.004904
-151.07535,200,944.122211
-83.75955,200,944.243313
35.68542,29,944.367378
1.2806242,116,944.367419
27.849873,43,944.489274
34.054295,27,944.636935
27.023806,53,944.743788
34.708454,37,944.743825
31.295275,34,944.862582
33.601715,39,944.996171
-157.70375,200,945.107566
5.386636,106,945.247017
38.81574,31,945.396848
1.982556,108,945.528103
35.17049,31,945.687606
5.5036716,112,945.817357
-35.884518,160,945.817389
40.03651,21,945.950081
-0.15792346,117,946.053279
37.596886,25,946.18704
30.005873,45,946.301072
28.047804,43,946.410259
-117.66058,200,946.549337
38.807964,23,946.64732
-36.847157,152,946.75267
40.79898,18,946.871363
37.354103,32,946.979686
38.353485,21,947.104161
-8.293517,107,947.208473
37.852993,26,947.307946
35.971046,32,947.447922
-4.5687757,147,947.447971
31.945541,43,947.573765
37.721573,24,947.712429
33.355198,40,947.825511
30.247416,46,947.940872
6.2293625,82,948.051463
-125.615654,200,948.195636
4.117039,101,948.195683
-11.896829,121,948.317617
-17.36301,121,948.31769
8.523783,104,948.444325
14.268254,67,948.575493
36.84877,29,948.687957
40.122597,21,948.823853
-18.104315,144,948.964332
34.099686,34,949.118545
26.280859,46,949.242544
33.22968,34,949.339999
-15.654228,158,949.460727
-81.47977,200,949.559957
34.94365,30,949.697341
18.592278,64,949.794996
30.693422,52,949.935993
-20.951647,127,950.059386
37.643303,29,950.200706
18.0816,76,950.200744
36.61486,28,950.315288
0.22363533,106,950.443822
-15.112531,135,950.597757
26.479979,58,950.597801
30.758541,40,950.692863
31.828981,48,950.841328
38.632412,24,950.956462
30.18798,47,951.104982
31.861032,30,951.21115
19.180162,60,951.338537
30.386679,35,951.468307
38.073017,23,951.468341
32.472847,34,951.627468
10.223039,92,951.766314
-12.353677,137,951.901398
23.257221,50,952.035886
23.714823,51,952.191664
25.701092,72,952.191697
-12.998283,156,952.329756
-91.15716,200,952.329788
19.65025,64,952.445189
25.608337,56,952.559176
31.098276,47,952.690557
33.67179,32,952.842328
37.125313,26,952.964875
-8.058214,118,953.068009
23.436817,74,953.169714
41.23831,23,953.28802
32.63485,35,953.390245
-126.52915,200,953.498986
18.702908,67,953.630851
21.677608,62,953.822249
39.17832,23,953.822284
7.9230165,98,953.947948
33.129875,40,954.100681
37.56643,25,954.100727
39.826015,22,954.216439
32.72525,26,954.21647
32.256218,44,954.324724
26.997963,58,954.463617
31.63691,38,954.596016
-127.66822,200,954.73772
11.438554,107,954.737764
-16.74993,127,954.896134
-101.961266,200,955.024683
-151.74673,200,955.128836
25.309765,51,955.256653
9.2656555,81,955.256694
39.158703,25,955.404098
-97.81201,200,955.539849
-11.198616,128,955.679276
13.801882,49,955.803544
-563.015,200,955.955288
27.87724,54,956.053904
8.225381,100,956.149646
27.71803,58,956.293118
37.771526,27,956.293162
27.770065,48,956.400406
35.58566,34,956.510165
16.677269,64,956.63423
35.59194,34,956.793791
37.410175,29,956.919507
31.896935,40,957.046943
-47.282642,154,957.046979
-43.581936,175,957.167002
-65.49845,188,957.324399
39.8202,21,957.458645
-10.563899,145,957.572821
21.769718,61,957.727508
39.77029,20,957.832186
36.615257,32,957.985469
-15.195593,129,958.096676
-108.04138,200,958.209774
-83.087814,184,958.311126
-11.5975275,158,958.412678
8.127224,86,958.535226
31.905857,33,958.644
4.2457905,84,958.767146
-93.15992,200,958.910141
20.32561,56,959.044598
13.599725,70,959.044629
32.736374,40,959.170501
-5.912783,135,959.290209
-146.66331,200,959.391252
18.616394,72,959.391284
28.048996,52,959.518613
25.442429,60,959.679615
-10.710888,150,959.679654
0.7496643,89,959.826614
-128.21918,200,959.950624
13.90952,90,960.108453
37.61252,27,960.108507
-14.772489,146,960.229968
23.893314,69,960.346426
10.507659,100,960.471034
11.102868,76,960.471082
36.3748,37,960.471089
37.648262,30,960.617803
28.675869,39,960.617858
25.611837,54,960.727857
-53.094456,165,960.824945
-25.802246,149,960.965898
-9.920879,121,961.07848
22.246992,68,961.189905
37.697887,23,961.298072
-53.834435,181,961.410211
38.84605,19,961.522532
32.217472,33,961.667726
13.625303,96,961.797534
22.357424,59,961.910531
-93.24139,200,962.043306
34.710197,34,962.043337
35.38257,36,962.043344
32.37049,36,962.174347
29.838566,48,962.174376
20.418274,84,962.330969
15.37155,76,962.516558
30.987236,43,962.516596
-22.631289,153,962.643858
39.787006,21,962.643897
33.654427,40,962.766195
-2.779867,95,962.876996
39.791702,30,962.992192
27.898489,52,963.091262
30.408358,36,963.231116
-1.412618,101,963.361893
34.836754,34,963.473285
-6.0588784,137,963.59334
4.7344384,79,963.785543
4.8741975,104,963.785577
32.863014,31,963.785587
32.089603,46,963.904758
21.569296,60,964.020866
-93.87534,200,964.138313
-82.82848,200,964.292171
28.809645,55,964.455574
-59.76661,144,964.583429
15.097372,79,964.704957
40.045685,22,964.838049
-83.506035,200,964.991078
29.568958,41,964.99113
41.318142,19,965.097753
41.16268,20,965.237039
21.409399,71,965.352073
19.282766,80,965.470423
-91.022484,200,965.618654
5.0606966,120,965.758638
-0.5502345,116,965.923259
17.010334,63,965.923305
-128.04424,200,966.021946
34.352077,39,966.1476
16.05967,90,966.295153
36.340736,33,966.40498
19.828531,74,966.559653
-40.577488,163,966.559688
-67.83716,169,966.669501
-4.851447,114,966.777312
5.6400447,107,966.939214
30.045725,47,966.939256
-122.20672,200,966.939264
-9.286315,108,967.055451
40.311558,21,967.162461
23.009357,56,967.288905
33.3649,34,967.288942
-7.7667694,119,967.411771
30.991037,55,967.548364
36.59586,28,967.660771
-116.22003,200,970.81026
21.618269,70,970.919395
-6.6684093,103,971.030355
-102.83836,200,971.131851
37.579224,30,971.256831
38.691807,26,971.378658
32.987442,39,971.510312
-117.72175,200,971.659736
31.054142,36,971.799503
-98.14353,200,971.799546
36.15256,35,971.799555
35.991966,31,971.919029
33.25704,36,972.018315
12.691721,81,972.148563
28.99268,37,972.267398
29.900164,38,972.404444
21.296156,73,972.52073
30.755283,43,972.64406
31.723259,31,972.749464
34.24066,32,972.85932
-89.15236,200,972.975579
-12.56665,114,972.975742
12.639457,80,973.107218
-118.10008,200,973.240131
-93.458435,200,973.357491
10.344151,95,973.475749
0.56848705,122,973.606226
31.976534,39,973.711006
10.204088,76,973.818094
-77.10028,200,973.9556
39.34141,23,974.068504
15.093736,89,974.186175
27.896278,43,974.301786
-111.23984,200,974.404211
-29.46424,159,974.505378
31.66855,35,974.629167
37.84779,31,974.7781
33.80905,31,974.898226
-25.446928,103,975.006368
28.25502,54,975.118878
9.568283,87,975.258901
36.650906,25,975.366618
-143.30902,200,975.493701
33.815636,33,975.597763
41.002083,21,975.736077
-81.642166,200,975.848119
41.08246,21,975.974005
38.702244,24,976.096832
33.117027,38,976.207717
2.5483649,119,976.320865
-17.393862,127,976.461831
10.870673,61,976.619866
-117.6772,200,976.716983
12.746058,85,976.84505
32.878105,29,976.970723
31.752548,54,977.079699
-127.546486,200,977.079734
-8.430092,152,977.079743
-91.76946,200,977.202731
40.433414,22,977.202765
-13.805577,127,977.32341
-160.29025,200,977.323443
-20.284084,152,977.463718
40.856667,24,977.592901
28.118334,44,977.708595
14.7826395,80,977.823613
31.519922,37,977.958374
-107.72814,200,977.958406
9.575193,81,978.077824
14.67748,76,978.19616
4.3102303,86,978.295018
35.712044,25,978.412782
-1.5740888,105,978.542524
36.961845,29,978.682912
-8.460223,131,978.831831
32.663677,36,978.996782
29.829256,43,978.996819
30.260458,44,979.122719
26.69243,50,979.232835
32.62662,37,979.362612
20.838213,57,979.362654
33.837032,29,979.36266
-31.89649,168,979.47798
-87.67922,167,979.604906
32.968346,32,979.746695
27.436295,51,979.853229
28.089474,58,979.987345
13.46598,94,979.987383
-131.24722,200,980.116902
40.741005,20,980.229326
23.214836,60,980.357295
29.010355,32,980.493092
26.55976,46,980.493122
34.858494,28,980.493129
-84.39055,200,980.624198
-252.93494,200,980.744335
6.3170366,105,980.846071
33.864258,37,980.963691
39.87073,24,981.093608
36.30367,31,981.202647
27.036974,48,981.325254
35.087154,37,981.440492
40.523205,22,981.548734
28.856388,54,981.709397
-54.544476,138,981.817319
4.545056,87,981.954957
-126.98863,200,982.064112
28.95968,48,982.214492
11.148741,93,982.322593
27.227104,32,982.430076
41.597702,19,982.536508
31.887827,35,982.665768
17.529827,71,982.784755
36.484882,27,982.784788
33.16905,33,982.891164
-8.406153,113,982.99121
10.083677,84,983.107337
39.31964,23,983.248868
26.438557,58,983.389324
35.60412,35,983.525995
-50.554474,169,983.638329
26.67136,57,983.774546
31.58967,44,983.888099
38.413097,23,983.888141
-10.720601,146,984.040285
31.686481,35,984.155439
28.425867,45,984.278904
19.10077,75,984.40494
33.25669,37,984.564664
30.997894,44,984.5647
24.906122,54,984.680078
29.859213,38,984.803957
33.208855,38,984.910797
39.72286,26,985.03323
30.874348,50,985.131625
2.1838138,77,985.282986
40.182438,21,985.415355
28.682747,46,985.415382
-116.29302,200,985.528932
36.680584,28,985.623067
38.461273,28,985.746425
2.386049,91,985.853728
-91.44652,200,985.980654
-41.714024,173,986.106345
38.528725,22,986.106384
4.2654586,110,986.208068
-162.81905,200,986.33977
38.164246,25,986.456532
36.854282,28,986.586452
23.199793,46,986.58649
25.105492,58,986.586496
-70.47199,200,986.701122
14.268936,91,986.845576
23.841692,60,986.992369
39.237896,24,987.111642
33.915604,29,987.227214
24.964428,73,987.333496
24.123121,81,987.501742
30.15389,36,987.50178
4.4269547,101,987.630376
16.63246,96,987.734169
-19.362484,136,987.837209
17.235472,67,987.974116
25.94075,54,987.974159
-9.570193,125,988.088883
-10.9463625,132,988.19633
29.818153,53,988.332347
-96.55235,200,988.451054
-22.27663,167,988.565402
38.680984,24,988.701731
30.969645,34,988.839581
8.476739,92,988.839614
19.797544,59,988.973573
35.928738,28,989.096815
27.478456,42,989.222312
-107.65707,200,989.332514
-19.608604,149,989.465454
33.251484,36,989.585553
9.232891,105,989.693951
20.106138,79,989.823496
33.888386,34,989.823522
-16.885443,128,989.955977
-1.0615708,91,990.065568
39.1107,33,990.20239
38.239246,31,990.202422
-64.050606,157,990.317216
25.76092,45,990.44343
17.529694,74,990.574815
-28.909966,124,990.697753
30.140923,43,990.697787
6.159474,109,990.841773
37.304817,25,990.84183
15.427067,91,990.961156
31.867834,44,990.961191
40.084877,20,991.10179
-1.2460687,112,991.101838
38.42477,23,991.27038
23.55037,45,991.270414
10.741399,86,991.372298
-79.92437,200,991.50872
34.172398,36,991.632901
38.767094,23,991.767327
29.264597,47,991.872287
-4.2891207,121,992.022885
33.724094,30,992.145077
5.0308623,112,992.251851
36.537525,32,992.377398
7.4719515,64,992.515336
40.156128,24,992.646504
-83.226456,200,992.790551
15.163149,74,992.928021
32.1934,32,993.059155
36.5492,26,993.18404
-586.68774,200,993.332107
30.548166,39,993.332166
-3.218399,139,993.433545
9.502626,87,993.558738
1.473428,114,993.69485
-25.218006,142,993.842942
31.417967,38,993.985742
37.567894,27,994.153928
33.505928,39,994.258343
18.24211,73,994.387436
14.605373,89,994.525929
23.946259,44,994.687519
16.039547,97,994.810369
11.812596,82,994.942624
21.13337,71,995.086994
-93.26861,200,995.200711
35.250546,35,995.342011
39.798527,22,995.453028
38.088436,22,995.56143
8.764786,100,995.684192
37.27844,29,995.684229
35.40083,35,995.8422
40.14552,24,995.950063
34.585957,32,996.07094
-106.694954,200,996.206589
9.804656,76,996.338259
-100.52406,200,996.457827
7.5717273,108,996.606826
31.211494,44,996.702935
31.664654,35,996.806819
33.89777,30,996.90866
3.3211694,90,997.012639
5.242455,78,997.119356
-22.356567,126,997.119406
37.07652,31,997.234258
37.609158,27,997.355465
31.3788,45,997.476165
40.70906,25,997.620943
32.495575,40,997.75243
-28.804127,149,997.862721
37.54148,29,998.025928
29.181591,41,998.025972
36.74627,34,998.171716
5.2440577,104,998.274809
31.968166,41,998.3908
27.50452,43,998.504139
-24.089125,166,998.614342
-121.71548,200,998.758011
